2022-05-26 18:06:57,245 INFO    MainThread:58973 [wandb_setup.py:_flush():76] Loading settings from /home/miras/.config/wandb/settings
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_setup.py:_flush():76] Loading settings from /D/MIT-WHOI/github_repos/syn_model/scripts/wandb/settings
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_init.py:_log_setup():428] Logging user logs to /D/MIT-WHOI/github_repos/syn_model/scripts/wandb/run-20220526_180657-1zt4b4b0/logs/debug.log
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_init.py:_log_setup():429] Logging internal logs to /D/MIT-WHOI/github_repos/syn_model/scripts/wandb/run-20220526_180657-1zt4b4b0/logs/debug-internal.log
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_init.py:_jupyter_setup():378] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7ff60f431df0>
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_init.py:init():462] calling init triggers
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-05-26 18:06:57,246 INFO    MainThread:58973 [wandb_init.py:init():515] starting backend
2022-05-26 18:06:57,246 INFO    MainThread:58973 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-05-26 18:06:57,259 INFO    MainThread:58973 [backend.py:ensure_launched():217] starting backend process...
2022-05-26 18:06:57,265 INFO    MainThread:58973 [backend.py:ensure_launched():222] started backend process with pid: 65269
2022-05-26 18:06:57,267 INFO    MainThread:58973 [wandb_init.py:init():525] backend started and connected
2022-05-26 18:06:57,270 INFO    MainThread:58973 [wandb_run.py:_label_probe_notebook():1089] probe notebook
2022-05-26 18:06:57,270 INFO    MainThread:58973 [wandb_run.py:_label_probe_notebook():1099] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-05-26 18:06:57,271 INFO    MainThread:58973 [wandb_init.py:init():596] updated telemetry
2022-05-26 18:06:57,291 INFO    MainThread:58973 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-05-26 18:06:58,396 INFO    MainThread:58973 [wandb_run.py:_on_init():1924] communicating current version
2022-05-26 18:06:58,507 INFO    MainThread:58973 [wandb_run.py:_on_init():1928] got version response 
2022-05-26 18:06:58,507 INFO    MainThread:58973 [wandb_init.py:init():662] starting run threads in backend
2022-05-26 18:07:03,539 INFO    MainThread:58973 [wandb_run.py:_console_start():1898] atexit reg
2022-05-26 18:07:03,540 INFO    MainThread:58973 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.WRAP
2022-05-26 18:07:03,540 INFO    MainThread:58973 [wandb_run.py:_redirect():1808] Wrapping output streams.
2022-05-26 18:07:03,540 INFO    MainThread:58973 [wandb_run.py:_redirect():1832] Redirects installed.
2022-05-26 18:07:03,541 INFO    MainThread:58973 [wandb_init.py:init():688] run started, returning control to user process
2022-05-26 18:07:03,722 INFO    MainThread:58973 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-26 18:07:03,722 INFO    MainThread:58973 [jupyter.py:save_ipynb():377] not saving jupyter notebook
